playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Bdd,7.992,1152.672,1,1,446,0,80
Blue,8.3263,505.0742,1,0,690,1,163
Perkz,9.5298,486.881,0,0,7,1,377
Clozer,10.0794,642.9894,1,0,571,0,186
Keaiduo,11.635,435.7414,0,1,266,0,-72
Abbedagge,8.1304,559.4168,0,0,-742,0,-296
FATE,8.7982,372.8115,0,0,-161,0,-505
PowerOfEvil,7.336,634.8289,1,1,201,0,-897
Abbedagge,8.6598,678.9691,2,0,409,1,987
Larssen,8.7487,624.551,0,0,-272,0,-59
Vetheo,10.7743,430.8402,1,0,110,1,783
Zeka,8.6646,352.7096,0,0,528,0,-216
Palafox,7.1895,495.4902,0,0,-748,0,-375
Ablazeolive,9.6029,424.9481,2,1,-257,0,709
ShowMaker,10.7477,343.9953,0,0,853,0,677
nukeduck,9.0611,602.0195,0,2,-1266,0,-376
Vetheo,9.6468,558.8197,0,1,-45,0,-650
ShowMaker,11.151,705.8843,1,0,239,1,511
Lava,8.1051,729.3264,1,0,396,0,176
Perkz,8.4154,255.7384,1,1,830,0,697
Palafox,9.2429,621.7035,1,0,678,0,623
ShowMaker,9.4313,560.6161,0,0,596,0,138
Faker,9.3633,521.2235,0,0,-351,0,-570
Aria,9.6675,630.6905,1,0,91,0,64
Zeka,9.7692,564.5897,0,1,708,0,545
Aria,8.1769,242.6539,0,1,-325,0,-167
jojopyun,7.1015,536.834,2,0,276,1,730
ShowMaker,10.1836,327.1452,1,0,-188,1,455
VicLa,8.5151,378.0493,0,0,838,0,31
FATE,8.6607,640.9465,2,0,209,0,824
Abbedagge,9.7377,652.8852,0,1,75,0,145
Maple,9.1393,706.6478,1,0,-31,1,-753
Abbedagge,8.6129,529.1542,0,2,-506,0,-468
Chovy,10.7417,690.3836,2,0,1199,1,1753
Ablazeolive,9.4809,663.0328,0,0,-127,0,-169
Bdd,7.2572,432.879,1,0,-467,0,-212
Chovy,10.7317,479.2334,0,1,-362,1,-323
FATE,8.3821,540.5964,0,0,-285,1,-12
Karis,7.4935,524.5722,0,0,-1167,0,-984
